PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=55 time=10.8 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=55 time=10.7 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=55 time=11.0 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=55 time=10.8 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=55 time=11.1 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=55 time=11.0 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=55 time=11.0 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=55 time=10.8 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=55 time=10.7 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=55 time=11.2 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=55 time=11.0 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=55 time=11.0 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=55 time=10.9 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=55 time=11.1 ms
